distance,source,target
0.0,Sun,Sun
4.22604059375,Sun,Gl-551
4.3546703331,Sun,Gl-559B
4.3546703331,Sun,Gl-559A
9.5621271326,Sun,Gl-729
8.5674288611,Sun,Gl-65A
8.57422391182,Sun,Gl-244B
8.57422391182,Sun,Gl-244A
5.98139100377,Sun,Gl-699
7.79733776619,Sun,Gl-406
8.20952664957,Sun,Gl-411
0.0,Gl-385,Gl-385
9.89327256725,Gl-385,Wo-9189
9.03428030891,Gl-385,Gl-305
0.0,Gl-67.1,Gl-67.1
8.19270810538,Gl-67.1,Gl-820.1
8.8436766698,Gl-67.1,Wo-9189
8.19270810538,Gl-820.1,Gl-67.1
0.0,Gl-820.1,Gl-820.1
6.13299288358,Gl-820.1,Gl-808
8.48441693518,Gl-820.1,Gl-835.1
5.49113241873,Gl-820.1,GJ-1251
0.0,GJ-2108,GJ-2108
9.89327256725,Wo-9189,Gl-385
8.8436766698,Wo-9189,Gl-67.1
0.0,Wo-9189,Wo-9189
9.0863753703,Wo-9189,Gl-305
6.13299288358,Gl-808,Gl-820.1
0.0,Gl-808,Gl-808
8.74980184747,Gl-808,NN-4340
5.28554793659,Gl-808,GJ-1251
8.63123172033,Gl-808,Gl-855.1A
0.0,Gl-626.1,Gl-626.1
0.0,GJ-1077,GJ-1077
9.93562615692,GJ-1077,Gl-127.1B
9.93562615692,GJ-1077,Gl-127.1A
0.0,GJ-2096,GJ-2096
6.92343660764,GJ-2096,Gl-539.1
0.0,GJ-1123,GJ-1123
5.72826671167,GJ-1123,Gl-231
7.26046292257,GJ-1123,GJ-1128
6.36171267663,GJ-1123,Gl-293
8.48441693518,Gl-835.1,Gl-820.1
0.0,Gl-835.1,Gl-835.1
3.33561373963,Gl-835.1,NN-4229A
9.13035401997,Gl-835.1,GJ-1251
8.74980184747,NN-4340,Gl-808
0.0,NN-4340,NN-4340
5.59155296139,NN-4340,Gl-855.1A
7.95730388574,NN-4340,GJ-1279
3.33561373963,NN-4229A,Gl-835.1
0.0,NN-4229A,NN-4229A
0.0,Gl-19,Gl-19
6.62744117213,Gl-19,Gl-877
9.67740602331,Gl-19,Gl-902
7.36659353026,Gl-19,Gl-54
7.71459063464,Gl-19,Gl-780
5.38651597324,Gl-19,Gl-17
8.25800868854,Gl-19,Gl-66B
8.25800868854,Gl-19,Gl-66A
9.03428030891,Gl-305,Gl-385
9.0863753703,Gl-305,Wo-9189
0.0,Gl-305,Gl-305
8.19453290615,Gl-305,Gl-391
5.49113241873,GJ-1251,Gl-820.1
5.28554793659,GJ-1251,Gl-808
9.13035401997,GJ-1251,Gl-835.1
0.0,GJ-1251,GJ-1251
6.62744117213,Gl-877,Gl-19
0.0,Gl-877,Gl-877
3.75901280791,Gl-877,Gl-902
6.77995100646,Gl-877,GJ-1264
6.15755767898,Gl-877,Gl-54
6.0713330579,Gl-877,Gl-827
6.67693199157,Gl-877,Gl-17
6.92343660764,Gl-539.1,GJ-2096
0.0,Gl-539.1,Gl-539.1
5.72826671167,Gl-231,GJ-1123
0.0,Gl-231,Gl-231
7.66673906821,Gl-231,Gl-293
8.19453290615,Gl-391,Gl-305
0.0,Gl-391,Gl-391
0.0,Gl-637,Gl-637
9.67740602331,Gl-902,Gl-19
3.75901280791,Gl-902,Gl-877
0.0,Gl-902,Gl-902
5.44718139408,Gl-902,GJ-1264
5.73059763899,Gl-902,Gl-54
7.30904032209,Gl-902,Gl-827
7.91534426983,Gl-902,Gl-865
7.98040109957,Gl-902,Gl-17
9.68782982148,Gl-902,GJ-1277
0.0,GJ-1244,GJ-1244
7.60156567162,GJ-1244,Gl-776
8.63123172033,Gl-855.1A,Gl-808
5.59155296139,Gl-855.1A,NN-4340
0.0,Gl-855.1A,Gl-855.1A
4.82407724337,Gl-855.1A,GJ-1279
8.79829081242,Gl-855.1A,NN-4206
0.0,NN-3344,NN-3344
6.77995100646,GJ-1264,Gl-877
5.44718139408,GJ-1264,Gl-902
0.0,GJ-1264,GJ-1264
6.2866288653,GJ-1264,Gl-827
5.72158824541,GJ-1264,Gl-865
8.82858435821,GJ-1264,GJ-1277
0.0,Gl-611.1,Gl-611.1
9.80999669062,Gl-611.1,Gl-639.2
0.0,Gl-624,Gl-624
6.56069901611,Gl-624,Gl-601A
9.18878024985,Gl-624,GJ-1218
7.26046292257,GJ-1128,GJ-1123
0.0,GJ-1128,GJ-1128
4.4047176947,GJ-1128,Gl-293
6.54600685838,GJ-1128,Gl-440
6.37218367359,GJ-1128,NN-3618
0.0,Gl-55.3A,Gl-55.3A
2.79347570958,Gl-55.3A,Gl-55.1A
7.70249478156,Gl-55.3A,Gl-97.1
7.71643062173,Gl-55.3A,Gl-3
6.53151177753,Gl-55.3A,Gl-85
9.34691335897,Gl-55.3A,NN-3006
5.50878803549,Gl-55.3A,Gl-31.5
6.45099766393,Gl-55.3A,Gl-54.3
9.27766958562,Gl-55.3A,Wo-9015A
0.0,GJ-1280,GJ-1280
9.27457048763,GJ-1280,GJ-1282
2.79347570958,Gl-55.1A,Gl-55.3A
0.0,Gl-55.1A,Gl-55.1A
9.25259409679,Gl-55.1A,Gl-97.1
9.83123913909,Gl-55.1A,GJ-1294A
6.96200168486,Gl-55.1A,Gl-3
7.8678425213,Gl-55.1A,Gl-85
7.94180418293,Gl-55.1A,NN-3006
6.96690737846,Gl-55.1A,Gl-31.5
8.48560961275,Gl-55.1A,Gl-54.3
9.88452566388,Gl-55.1A,Gl-45
0.0,Gl-472,Gl-472
3.92896955829,Gl-472,GJ-2092
9.71353219689,Gl-472,Gl-428A
7.70249478156,Gl-97.1,Gl-55.3A
9.25259409679,Gl-97.1,Gl-55.1A
0.0,Gl-97.1,Gl-97.1
3.19090733491,Gl-97.1,Gl-85
9.15351455672,Gl-97.1,Gl-54.3
9.93562615692,Gl-127.1B,GJ-1077
0.0,Gl-127.1B,Gl-127.1B
0.0,Gl-127.1B,Gl-127.1A
6.42325469291,Gl-127.1B,NN-3112
4.04565391871,Gl-127.1B,Gl-118
5.26311598675,Gl-127.1B,Gl-136
4.20608814221,Gl-127.1B,Gl-138
8.66201674265,Gl-127.1B,GJ-1049
9.70550809438,Gl-127.1B,NN-3210
9.93562615692,Gl-127.1A,GJ-1077
0.0,Gl-127.1A,Gl-127.1B
0.0,Gl-127.1A,Gl-127.1A
6.42325469291,Gl-127.1A,NN-3112
4.04565391871,Gl-127.1A,Gl-118
5.26311598675,Gl-127.1A,Gl-136
4.20608814221,Gl-127.1A,Gl-138
8.66201674265,Gl-127.1A,GJ-1049
9.70550809438,Gl-127.1A,NN-3210
9.83123913909,GJ-1294A,Gl-55.1A
0.0,GJ-1294A,GJ-1294A
7.20054884783,GJ-1294A,Gl-3
8.88952598399,GJ-1294A,GJ-1279
5.51185241548,GJ-1294A,NN-3006
7.8816089988,GJ-1294A,Gl-45
0.0,GJ-1262,GJ-1262
8.68401124136,GJ-1262,Wo-9732
9.48507481151,GJ-1262,NN-4273
8.56228650303,GJ-1262,Gl-825.1
7.71643062173,Gl-3,Gl-55.3A
6.96200168486,Gl-3,Gl-55.1A
7.20054884783,Gl-3,GJ-1294A
0.0,Gl-3,Gl-3
3.06042566647,Gl-3,NN-3006
7.06501348619,Gl-3,Gl-31.5
9.19092903792,Gl-3,Wo-9015A
6.36171267663,Gl-293,GJ-1123
7.66673906821,Gl-293,Gl-231
4.4047176947,Gl-293,GJ-1128
0.0,Gl-293,Gl-293
9.94354680082,Gl-293,NN-3618
7.95730388574,GJ-1279,NN-4340
4.82407724337,GJ-1279,Gl-855.1A
8.88952598399,GJ-1279,GJ-1294A
0.0,GJ-1279,GJ-1279
9.2955435102,GJ-1279,NN-4206
9.59432012547,GJ-1279,Gl-842
8.68401124136,Wo-9732,GJ-1262
0.0,Wo-9732,Wo-9732
7.85202066095,Wo-9732,Gl-776
7.14765045172,Wo-9732,NN-4273
8.62086356347,Wo-9732,Gl-794.2
7.36659353026,Gl-54,Gl-19
6.15755767898,Gl-54,Gl-877
5.73059763899,Gl-54,Gl-902
0.0,Gl-54,Gl-54
4.31058696351,Gl-54,Gl-17
7.11000519972,Gl-54,Gl-66B
7.11000519972,Gl-54,Gl-66A
7.60156567162,Gl-776,GJ-1244
7.85202066095,Gl-776,Wo-9732
0.0,Gl-776,Gl-776
9.21902861532,Gl-776,Gl-762
8.46336260714,Gl-776,Gl-794.2
6.42325469291,NN-3112,Gl-127.1B
6.42325469291,NN-3112,Gl-127.1A
0.0,NN-3112,NN-3112
5.77700963648,NN-3112,Gl-118
