distance,source,target
9.031180446652586,Gl-832,Gl-866AB
0.0,GJ-2034,GJ-2034
7.791183291387772,GJ-2034,Gl-139
8.995289795220609,Gl-674,Gl-780
5.827012658300991,Gl-674,Gl-693
9.866781247195055,Gl-674,Gl-845
0.0,Gl-674,Gl-674
9.898106911425034,Gl-674,Gl-666B
9.898106911425034,Gl-674,Gl-666A
6.704128131233769,Gl-674,Gl-754
9.830681356854164,Gl-674,Gl-784
0.9691913846088391,Gl-674,Gl-682
8.056915509672422,Gl-674,Gl-588
9.761503118372703,Gl-674,Gl-783A
9.306993670353492,Gl-674,Gl-667C
9.307666540008832,Gl-674,Gl-667A
6.247453924600005,Gl-674,Gl-663B
6.2479422196432,Gl-674,Gl-663A
6.568773195962849,Gl-674,Gl-664
7.8486605870046375,Gl-674,Gl-729
8.90939988158574,Gl-674,Gl-628
6.684182471327365,Gl-666B,Gl-693
9.898106911425034,Gl-666B,Gl-674
0.0,Gl-666B,Gl-666B
0.0,Gl-666B,Gl-666A
9.953806630128998,Gl-666B,Gl-754
9.410229916957396,Gl-666B,Gl-682
9.091817471770977,Gl-666B,Gl-588
6.154645922390662,Gl-666B,Gl-618B
6.154645922390662,Gl-666B,Gl-618A
5.075142162540868,Gl-666B,Gl-667C
5.077174100816319,Gl-666B,Gl-667A
6.684182471327365,Gl-666A,Gl-693
9.898106911425034,Gl-666A,Gl-674
0.0,Gl-666A,Gl-666B
0.0,Gl-666A,Gl-666A
9.953806630128998,Gl-666A,Gl-754
9.410229916957396,Gl-666A,Gl-682
9.091817471770977,Gl-666A,Gl-588
6.154645922390662,Gl-666A,Gl-618B
6.154645922390662,Gl-666A,Gl-618A
5.075142162540868,Gl-666A,Gl-667C
5.077174100816319,Gl-666A,Gl-667A
0.0,Gl-367,Gl-367
9.076184018077202,Gl-367,Gl-318
6.974572022712219,Gl-754,Gl-780
6.30286957821594,Gl-754,Gl-693
9.98073039311252,Gl-754,Gl-845
7.404896154572324,Gl-754,Gl-832
6.704128131233769,Gl-754,Gl-674
9.953806630128998,Gl-754,Gl-666B
9.953806630128998,Gl-754,Gl-666A
0.0,Gl-754,Gl-754
3.397748716429749,Gl-754,Gl-784
6.236292708011708,Gl-754,Gl-682
8.4271736626226,Gl-754,Gl-825
4.313993339123277,Gl-754,Gl-783A
9.763374198503303,Gl-754,Gl-663B
9.76383840402943,Gl-754,Gl-663A
9.831048321516887,Gl-754,Gl-664
7.136962491144254,Gl-784,Gl-780
8.77830363452985,Gl-784,Gl-693
6.361119027341022,Gl-784,Gl-832
9.830681356854164,Gl-784,Gl-674
3.397748716429749,Gl-784,Gl-754
0.0,Gl-784,Gl-784
9.475532111707501,Gl-784,Gl-682
8.167947279457673,Gl-784,Gl-825
3.3790875647132905,Gl-784,Gl-783A
8.662857005630418,Gl-784,Gl-799A
0.0,Gl-191,Gl-191
4.131835999891573,Gl-191,GJ-1061
9.601625883671995,Gl-191,Gl-139
9.18184659477602,Gl-191,Gl-229
9.910259064726814,Gl-191,Gl-65A
7.374447589480855,Gl-191,Gl-244B
7.374447589480855,Gl-191,Gl-244A
8.418712419960666,Gl-191,Gl-144
9.969951011915756,Gl-191,Gl-166C
9.969951011915756,Gl-191,Gl-166B
9.972496771120058,Gl-191,Gl-166A
4.131835999891573,GJ-1061,Gl-191
0.0,GJ-1061,GJ-1061
6.509313753384454,GJ-1061,Gl-139
9.789243597438976,GJ-1061,Gl-1
8.69346216302803,GJ-1061,Gl-65A
9.273946997368487,GJ-1061,Gl-54.1
8.432042936916297,GJ-1061,Gl-71
8.078400720439657,GJ-1061,Gl-144
