distance,source,target
0.0,Sun,Sun
4.226040593747296,Sun,Gl-551
4.354670333102151,Sun,Gl-559B
4.354670333102151,Sun,Gl-559A
9.562127132599734,Sun,Gl-729
8.56742886109946,Sun,Gl-65A
8.574223911818493,Sun,Gl-244B
8.574223911818493,Sun,Gl-244A
5.9813910037716145,Sun,Gl-699
7.79733776618661,Sun,Gl-406
8.209526649569998,Sun,Gl-411
0.0,Gl-385,Gl-385
9.893272567254984,Gl-385,Wo-9189
9.034280308912273,Gl-385,Gl-305
0.0,Gl-67.1,Gl-67.1
8.192708105382493,Gl-67.1,Gl-820.1
8.843676669801988,Gl-67.1,Wo-9189
8.192708105382493,Gl-820.1,Gl-67.1
0.0,Gl-820.1,Gl-820.1
6.1329928835765,Gl-820.1,Gl-808
8.484416935181816,Gl-820.1,Gl-835.1
5.491132418727488,Gl-820.1,GJ-1251
0.0,GJ-2108,GJ-2108
9.893272567254984,Wo-9189,Gl-385
8.843676669801988,Wo-9189,Gl-67.1
0.0,Wo-9189,Wo-9189
9.086375370300305,Wo-9189,Gl-305
6.1329928835765,Gl-808,Gl-820.1
0.0,Gl-808,Gl-808
8.749801847470604,Gl-808,NN-4340
5.285547936590873,Gl-808,GJ-1251
8.631231720328216,Gl-808,Gl-855.1A
0.0,Gl-626.1,Gl-626.1
0.0,GJ-1077,GJ-1077
9.935626156916335,GJ-1077,Gl-127.1B
9.935626156916335,GJ-1077,Gl-127.1A
0.0,GJ-2096,GJ-2096
6.9234366076393,GJ-2096,Gl-539.1
0.0,GJ-1123,GJ-1123
5.728266711667675,GJ-1123,Gl-231
7.260462922569058,GJ-1123,GJ-1128
6.361712676630407,GJ-1123,Gl-293
8.484416935181816,Gl-835.1,Gl-820.1
0.0,Gl-835.1,Gl-835.1
3.335613739628734,Gl-835.1,NN-4229A
9.130354019970964,Gl-835.1,GJ-1251
8.749801847470604,NN-4340,Gl-808
0.0,NN-4340,NN-4340
5.591552961387381,NN-4340,Gl-855.1A
7.957303885739188,NN-4340,GJ-1279
3.335613739628734,NN-4229A,Gl-835.1
0.0,NN-4229A,NN-4229A
0.0,Gl-19,Gl-19
6.627441172126693,Gl-19,Gl-877
9.677406023310173,Gl-19,Gl-902
7.366593530255352,Gl-19,Gl-54
7.714590634635126,Gl-19,Gl-780
5.386515973242817,Gl-19,Gl-17
8.25800868853987,Gl-19,Gl-66B
8.25800868853987,Gl-19,Gl-66A
9.034280308912273,Gl-305,Gl-385
9.086375370300305,Gl-305,Wo-9189
0.0,Gl-305,Gl-305
8.194532906151515,Gl-305,Gl-391
5.491132418727488,GJ-1251,Gl-820.1
5.285547936590873,GJ-1251,Gl-808
9.130354019970964,GJ-1251,Gl-835.1
0.0,GJ-1251,GJ-1251
6.627441172126693,Gl-877,Gl-19
0.0,Gl-877,Gl-877
3.7590128079058185,Gl-877,Gl-902
6.779951006460149,Gl-877,GJ-1264
6.157557678982796,Gl-877,Gl-54
6.0713330579041696,Gl-877,Gl-827
6.676931991566187,Gl-877,Gl-17
6.9234366076393,Gl-539.1,GJ-2096
0.0,Gl-539.1,Gl-539.1
5.728266711667675,Gl-231,GJ-1123
0.0,Gl-231,Gl-231
7.666739068208856,Gl-231,Gl-293
8.194532906151515,Gl-391,Gl-305
0.0,Gl-391,Gl-391
0.0,Gl-637,Gl-637
9.677406023310173,Gl-902,Gl-19
3.7590128079058185,Gl-902,Gl-877
0.0,Gl-902,Gl-902
5.447181394078961,Gl-902,GJ-1264
5.730597638990195,Gl-902,Gl-54
7.309040322094276,Gl-902,Gl-827
7.915344269834383,Gl-902,Gl-865
7.980401099568869,Gl-902,Gl-17
9.687829821482207,Gl-902,GJ-1277
0.0,GJ-1244,GJ-1244
7.601565671623182,GJ-1244,Gl-776
8.631231720328216,Gl-855.1A,Gl-808
5.591552961387381,Gl-855.1A,NN-4340
0.0,Gl-855.1A,Gl-855.1A
4.824077243369968,Gl-855.1A,GJ-1279
8.798290812424876,Gl-855.1A,NN-4206
0.0,NN-3344,NN-3344
6.779951006460149,GJ-1264,Gl-877
5.447181394078961,GJ-1264,Gl-902
0.0,GJ-1264,GJ-1264
6.28662886529816,GJ-1264,Gl-827
5.721588245408788,GJ-1264,Gl-865
