#Name,x-pos,y-pos,z-pos,dist,bright,temp
GJ-1218,34.8181,-20.4904,10.7892,41.8158,0.0012,3823.8388
Gl-412.1,21.8738,-56.6236,2.1008,60.7381,4.2855,4671.8446
Gl-45,16.4948,-26.6411,44.5322,54.4513,0.0384,4121.4374
NN-4079,46.1815,-22.8298,22.5489,56.2351,0.0133,3854.6801
Gl-705.1,52.8187,-27.8397,20.7517,63.2100,2.2080,6046.9729
GJ-1282,33.9273,-27.8409,55.6898,70.9051,2.5119,6343.8806
Gl-248,1.9621,-58.4614,26.1642,64.0792,24.4343,8086.4136
Gl-428A,13.9204,-33.0699,0.3065,35.8816,0.1057,4194.2733
NN-3400A,1.3510,-64.1451,30.1846,70.9051,1.2134,5890.3220
Gl-825.1,47.2850,-23.5753,45.9046,69.9921,0.9204,5670.9835
Gl-260,1.3844,-47.7795,19.8882,51.7720,0.4093,5280.6719
Gl-297.1,5.1523,-59.2331,15.8776,61.5403,4.6559,6724.4177
NN-3618,4.5839,-13.8936,0.5140,14.6393,0.0000,3368.0868
GJ-1022,21.7480,-33.0253,58.8548,70.9051,0.0056,3854.6801
NN-4244,44.4126,-24.4114,51.8175,72.4807,0.0649,4212.9051
Gl-559B,3.1203,-3.0371,0.0539,4.3547,0.4529,5162.9390
Gl-559A,3.1203,-3.0371,0.0539,4.3547,1.5417,5815.2137
Gl-656,40.6398,-23.6412,10.1860,48.1067,0.2051,5023.3752
Gl-794.2,43.4675,-19.3694,35.3862,59.3024,2.8314,6255.8849
GJ-1283,31.3468,-24.7684,53.2415,66.5639,0.0938,4409.2340
Gl-204.1,-0.6650,-55.4299,36.8490,66.5639,0.5808,5372.7941
Gl-294A,2.9411,-49.7574,13.9961,51.7720,1.3305,6087.5470
Gl-294B,2.9444,-49.7613,13.9813,51.7720,0.0244,4051.1958
Gl-341,5.4264,-32.0919,4.1680,32.8132,0.0138,3823.8388
Gl-81.2,10.5930,-30.9888,46.9233,57.2216,0.0973,4388.7408
GJ-1056,5.7602,-44.6051,52.8496,69.3965,0.0718,4269.8553
Gl-389A,15.7194,-57.1235,2.5661,59.3024,0.0149,3901.9253
Gl-389B,15.7177,-57.1241,2.5632,59.3024,0.0026,3808.6099
NN-4332,33.1413,-25.9593,57.0553,70.9051,0.0166,3870.2956
GJ-1277,18.5584,-12.6491,28.4421,36.2404,0.0003,3403.7396
Gl-842,25.9802,-13.4140,30.4973,42.2491,0.0184,3808.6099
Gl-29,17.9216,-25.0661,48.5753,57.5244,1.2589,6128.7113
Gl-542,21.5517,-22.3944,-0.8807,31.0928,0.1722,4671.8446
Gl-167.3,0.1256,-35.8548,32.9282,48.6811,3.2509,4580.7200
Wo-9209A,-2.1015,-65.7378,34.1920,74.1280,1.2474,6006.9760
Wo-9209B,-2.1015,-65.7378,34.1920,74.1280,0.002011407.3413
Gl-503AB,36.5345,-50.5338,-3.9672,62.4834,3.9446,6481.0089
Gl-333.1,7.1951,-60.4270,9.1660,61.5403,3.2509,6775.5018
Gl-404.1,17.8527,-54.3621,-0.5975,57.2216,7.9433,4866.0844
Gl-580.1,49.0390,-39.8641,1.2343,63.2100,13.0617,9125.4585
Gl-238,-1.5603,-41.5646,19.5011,45.9385,0.0039,3778.5271
Gl-788.1,48.9170,-18.7245,36.2587,63.7038,0.0192,3854.6801
Gl-714,40.6817,-17.4036,16.2379,47.1334,0.0209,3823.8388
GJ-1049,4.0017,-24.7575,34.1369,42.3589,0.0203,3966.8287
Gl-857,33.0951,-17.1478,44.4845,58.0362,2.0512,5706.3189
NN-3551,8.9765,-68.4462,7.0996,69.3965,0.0614,4328.4424
Gl-836.9A,40.1355,-17.5292,44.7330,62.6033,0.0525,4086.0014
Gl-422,14.8162,-39.7988,-2.2082,42.5246,0.0033,3839.1950
GJ-1075,-2.1790,-32.2245,24.0473,40.2671,0.0328,3950.3928
